Year,United States Median Income(dollars),Population(people),Cattle (1 to 1million),Total Gross Emissions (MMT),AVG GDP per Quarter(yearly)
,,,,,
,,,,,
,,,,,
,,,,,
Year,MED,POP,COW,TGE,GDP
2021,70780,332031554,93.6,6340.2,23594.03
2020,68010,331511512,94.4,6026,21521.4
2019,68700,328329953,94.8,6617.9,21322.95
2018,63180,326838199,94.4,6754.8,20656.52
2017,61140,325122128,93.6,6561.8,19612.1
2016,59040,323071755,92,6578.4,18804.91
2015,56520,320738994,89.8,6737.4,18295.02
2014,53660,318386329,87.7,6898.5,17608.14
2013,53590,316059947,89.3,6841.7,16880.68
2012,51020,313877662,90.8,6670.5,16253.97
2011,50050,311583481,92.6,6907.2,15599.73
2010,49280,309327143,93.7,7058.2,15048.97
2009,49780,306771529,94.5,6840.7,14769.86
2008,50300,304093966,96.7,7294.5,14478.07
2007,50230,301231207,97,7511.4,14474.23
2006,48200,298379912,97.1,7407.9,13815.58
2005,46330,295516599,95.8,7477.4,13039.2
2004,44330,292805298,94.9,7464.4,12217.2
2003,43320,290107933,96.1,7352.7,11456.45
2002,42410,287625193,96.7,7293.3,10929.11
2001,42230,284968955,97.3,7253.5,10581.93
2000,41990,282162411,98,7369.2,10250.95
1999,40700,272690813,98.5,7169.9,9631.17
1998,38890,270248003,99.5,7124.7,9062.82
1997,37010,267783607,101.2,7079.2,8577.55
1996,35490,265228572,103.8,7023.5,8073.12
1995,34080,262803276,103.3,6821.9,7639.75
1994,32260,260327021,101.7,6745.2,7287.24
1993,31240,257782608,100.9,6639.5,6858.56
1992,30640,255029699,100.1,6534.9,6520.33
1991,30130,252153092,99.4,6418.4,6158.13
1990,29940,249464396,99.3,6487.3,5963.14
