"","Year","GDP","MED","POP","COW","TGE","Economic Sectors","EC","IPCC Sector","IPC"
"1",1990,5963.14,29940,249464396,99.3,6487.3,"Transportation",1521.4,"Energy",5368
"2",1990,5963.14,29940,249464396,99.3,6487.3,"Transportation",1521.4,"Industrial Processes and Product Use",335.4
"3",1990,5963.14,29940,249464396,99.3,6487.3,"Transportation",1521.4,"Agriculture",548
"4",1990,5963.14,29940,249464396,99.3,6487.3,"Transportation",1521.4,"Waste",236
"5",1991,6158.13,30130,252153092,99.4,6418.4,"Transportation",1474.8,"Energy",5321
"6",1991,6158.13,30130,252153092,99.4,6418.4,"Transportation",1474.8,"Industrial Processes and Product Use",317.3
"7",1991,6158.13,30130,252153092,99.4,6418.4,"Transportation",1474.8,"Agriculture",540.7
"8",1991,6158.13,30130,252153092,99.4,6418.4,"Transportation",1474.8,"Waste",239.3
"9",1992,6520.33,30640,255029699,100.1,6534.9,"Transportation",1533.8,"Energy",5428.4
"10",1992,6520.33,30640,255029699,100.1,6534.9,"Transportation",1533.8,"Industrial Processes and Product Use",322.8
"11",1992,6520.33,30640,255029699,100.1,6534.9,"Transportation",1533.8,"Agriculture",543.7
"12",1992,6520.33,30640,255029699,100.1,6534.9,"Transportation",1533.8,"Waste",239.9
"13",1993,6858.56,31240,257782608,100.9,6639.5,"Transportation",1570.2,"Energy",5517.5
"14",1993,6858.56,31240,257782608,100.9,6639.5,"Transportation",1570.2,"Industrial Processes and Product Use",322.2
"15",1993,6858.56,31240,257782608,100.9,6639.5,"Transportation",1570.2,"Agriculture",561.7
"16",1993,6858.56,31240,257782608,100.9,6639.5,"Transportation",1570.2,"Waste",238.1
"17",1994,7287.24,32260,260327021,101.7,6745.2,"Transportation",1624.6,"Energy",5606.3
"18",1994,7287.24,32260,260327021,101.7,6745.2,"Transportation",1624.6,"Industrial Processes and Product Use",333.9
"19",1994,7287.24,32260,260327021,101.7,6745.2,"Transportation",1624.6,"Agriculture",566.2
"20",1994,7287.24,32260,260327021,101.7,6745.2,"Transportation",1624.6,"Waste",238.8
"21",1995,7639.75,34080,262803276,103.3,6821.9,"Transportation",1659.2,"Energy",5653.8
"22",1995,7639.75,34080,262803276,103.3,6821.9,"Transportation",1659.2,"Industrial Processes and Product Use",362.3
"23",1995,7639.75,34080,262803276,103.3,6821.9,"Transportation",1659.2,"Agriculture",572.2
"24",1995,7639.75,34080,262803276,103.3,6821.9,"Transportation",1659.2,"Waste",233.6
"25",1996,8073.12,35490,265228572,103.8,7023.5,"Transportation",1714.6,"Energy",5841.7
"26",1996,8073.12,35490,265228572,103.8,7023.5,"Transportation",1714.6,"Industrial Processes and Product Use",374.1
"27",1996,8073.12,35490,265228572,103.8,7023.5,"Transportation",1714.6,"Agriculture",577.5
"28",1996,8073.12,35490,265228572,103.8,7023.5,"Transportation",1714.6,"Waste",230.2
"29",1997,8577.55,37010,267783607,101.2,7079.2,"Transportation",1740.5,"Energy",5912.7
"30",1997,8577.55,37010,267783607,101.2,7079.2,"Transportation",1740.5,"Industrial Processes and Product Use",379.7
"31",1997,8577.55,37010,267783607,101.2,7079.2,"Transportation",1740.5,"Agriculture",566.8
"32",1997,8577.55,37010,267783607,101.2,7079.2,"Transportation",1740.5,"Waste",220
"33",1998,9062.82,38890,270248003,99.5,7124.7,"Transportation",1782.7,"Energy",5953.6
"34",1998,9062.82,38890,270248003,99.5,7124.7,"Transportation",1782.7,"Industrial Processes and Product Use",386.1
"35",1998,9062.82,38890,270248003,99.5,7124.7,"Transportation",1782.7,"Agriculture",575
"36",1998,9062.82,38890,270248003,99.5,7124.7,"Transportation",1782.7,"Waste",210
"37",1999,9631.17,40700,272690813,98.5,7169.9,"Transportation",1853.7,"Energy",6012.1
"38",1999,9631.17,40700,272690813,98.5,7169.9,"Transportation",1853.7,"Industrial Processes and Product Use",382.4
"39",1999,9631.17,40700,272690813,98.5,7169.9,"Transportation",1853.7,"Agriculture",571.7
"40",1999,9631.17,40700,272690813,98.5,7169.9,"Transportation",1853.7,"Waste",203.6
"41",2000,10250.95,41990,282162411,98,7369.2,"Transportation",1903.8,"Energy",6222.8
"42",2000,10250.95,41990,282162411,98,7369.2,"Transportation",1903.8,"Industrial Processes and Product Use",381
"43",2000,10250.95,41990,282162411,98,7369.2,"Transportation",1903.8,"Agriculture",565
"44",2000,10250.95,41990,282162411,98,7369.2,"Transportation",1903.8,"Waste",200.4
"45",2001,10581.93,42230,284968955,97.3,7253.5,"Transportation",1875.5,"Energy",6139.4
"46",2001,10581.93,42230,284968955,97.3,7253.5,"Transportation",1875.5,"Industrial Processes and Product Use",345.9
"47",2001,10581.93,42230,284968955,97.3,7253.5,"Transportation",1875.5,"Agriculture",573.1
"48",2001,10581.93,42230,284968955,97.3,7253.5,"Transportation",1875.5,"Waste",195.1
"49",2002,10929.11,42410,287625193,96.7,7293.3,"Transportation",1916.3,"Energy",6168.1
"50",2002,10929.11,42410,287625193,96.7,7293.3,"Transportation",1916.3,"Industrial Processes and Product Use",354
"51",2002,10929.11,42410,287625193,96.7,7293.3,"Transportation",1916.3,"Agriculture",577.2
"52",2002,10929.11,42410,287625193,96.7,7293.3,"Transportation",1916.3,"Waste",194
"53",2003,11456.45,43320,290107933,96.1,7352.7,"Transportation",1923.8,"Energy",6236.9
"54",2003,11456.45,43320,290107933,96.1,7352.7,"Transportation",1923.8,"Industrial Processes and Product Use",342.1
"55",2003,11456.45,43320,290107933,96.1,7352.7,"Transportation",1923.8,"Agriculture",576.7
"56",2003,11456.45,43320,290107933,96.1,7352.7,"Transportation",1923.8,"Waste",197
"57",2004,12217.2,44330,292805298,94.9,7464.4,"Transportation",1956.3,"Energy",6335.1
"58",2004,12217.2,44330,292805298,94.9,7464.4,"Transportation",1956.3,"Industrial Processes and Product Use",355.2
"59",2004,12217.2,44330,292805298,94.9,7464.4,"Transportation",1956.3,"Agriculture",579.4
"60",2004,12217.2,44330,292805298,94.9,7464.4,"Transportation",1956.3,"Waste",194.7
"61",2005,13039.2,46330,295516599,95.8,7477.4,"Transportation",1966,"Energy",6351.5
"62",2005,13039.2,46330,295516599,95.8,7477.4,"Transportation",1966,"Industrial Processes and Product Use",356.1
"63",2005,13039.2,46330,295516599,95.8,7477.4,"Transportation",1966,"Agriculture",577.7
"64",2005,13039.2,46330,295516599,95.8,7477.4,"Transportation",1966,"Waste",192.1
"65",2006,13815.58,48200,298379912,97.1,7407.9,"Transportation",1966.4,"Energy",6277.9
"66",2006,13815.58,48200,298379912,97.1,7407.9,"Transportation",1966.4,"Industrial Processes and Product Use",365.3
"67",2006,13815.58,48200,298379912,97.1,7407.9,"Transportation",1966.4,"Agriculture",574.7
"68",2006,13815.58,48200,298379912,97.1,7407.9,"Transportation",1966.4,"Waste",190
"69",2007,14474.23,50230,301231207,97,7511.4,"Transportation",1967.2,"Energy",6347.9
"70",2007,14474.23,50230,301231207,97,7511.4,"Transportation",1967.2,"Industrial Processes and Product Use",381.7
"71",2007,14474.23,50230,301231207,97,7511.4,"Transportation",1967.2,"Agriculture",594
"72",2007,14474.23,50230,301231207,97,7511.4,"Transportation",1967.2,"Waste",187.7
"73",2008,14478.07,50300,304093966,96.7,7294.5,"Transportation",1863.5,"Energy",6162.9
"74",2008,14478.07,50300,304093966,96.7,7294.5,"Transportation",1863.5,"Industrial Processes and Product Use",360.2
"75",2008,14478.07,50300,304093966,96.7,7294.5,"Transportation",1863.5,"Agriculture",586.2
"76",2008,14478.07,50300,304093966,96.7,7294.5,"Transportation",1863.5,"Waste",185.3
"77",2009,14769.86,49780,306771529,94.5,6840.7,"Transportation",1789.1,"Energy",5760
"78",2009,14769.86,49780,306771529,94.5,6840.7,"Transportation",1789.1,"Industrial Processes and Product Use",312.9
"79",2009,14769.86,49780,306771529,94.5,6840.7,"Transportation",1789.1,"Agriculture",585.7
"80",2009,14769.86,49780,306771529,94.5,6840.7,"Transportation",1789.1,"Waste",182.1
"81",2010,15048.97,49280,309327143,93.7,7058.2,"Transportation",1795.2,"Energy",5932.1
"82",2010,15048.97,49280,309327143,93.7,7058.2,"Transportation",1795.2,"Industrial Processes and Product Use",352
"83",2010,15048.97,49280,309327143,93.7,7058.2,"Transportation",1795.2,"Agriculture",591
"84",2010,15048.97,49280,309327143,93.7,7058.2,"Transportation",1795.2,"Waste",183.1
"85",2011,15599.73,50050,311583481,92.6,6907.2,"Transportation",1762.3,"Energy",5783.7
"86",2011,15599.73,50050,311583481,92.6,6907.2,"Transportation",1762.3,"Industrial Processes and Product Use",367
"87",2011,15599.73,50050,311583481,92.6,6907.2,"Transportation",1762.3,"Agriculture",582.4
"88",2011,15599.73,50050,311583481,92.6,6907.2,"Transportation",1762.3,"Waste",174.1
"89",2012,16253.97,51020,313877662,90.8,6670.5,"Transportation",1743.5,"Energy",5564.1
"90",2012,16253.97,51020,313877662,90.8,6670.5,"Transportation",1743.5,"Industrial Processes and Product Use",357.2
"91",2012,16253.97,51020,313877662,90.8,6670.5,"Transportation",1743.5,"Agriculture",572.6
"92",2012,16253.97,51020,313877662,90.8,6670.5,"Transportation",1743.5,"Waste",176.6
"93",2013,16880.68,53590,316059947,89.3,6841.7,"Transportation",1746.6,"Energy",5714.1
"94",2013,16880.68,53590,316059947,89.3,6841.7,"Transportation",1746.6,"Industrial Processes and Product Use",357.2
"95",2013,16880.68,53590,316059947,89.3,6841.7,"Transportation",1746.6,"Agriculture",597.5
"96",2013,16880.68,53590,316059947,89.3,6841.7,"Transportation",1746.6,"Waste",172.8
"97",2014,17608.14,53660,318386329,87.7,6898.5,"Transportation",1780.8,"Energy",5754.1
"98",2014,17608.14,53660,318386329,87.7,6898.5,"Transportation",1780.8,"Industrial Processes and Product Use",368.7
"99",2014,17608.14,53660,318386329,87.7,6898.5,"Transportation",1780.8,"Agriculture",603
